Date,BTC_Price_USD,Block_Reward_BTC,Fees_Per_Block_BTC,Total_BTC_Per_Block,Blocks_Per_Day,Daily_BTC_Reward,Daily_USD_Reward
2020-01-01,7200.17,12.5,0.1,12.6,144,1814.4,13063996.28
2020-01-02,6985.47,12.5,0.1,12.6,144,1814.4,12674437.16
2020-01-03,7344.88,12.5,0.1,12.6,144,1814.4,13326558.03
2020-01-04,7410.66,12.5,0.1,12.6,144,1814.4,13445895.59
2020-01-05,7411.32,12.5,0.1,12.6,144,1814.4,13447094.26
2020-01-06,7769.22,12.5,0.1,12.6,144,1814.4,14096471.39
2020-01-07,8163.69,12.5,0.1,12.6,144,1814.4,14812203.46
2020-01-08,8079.86,12.5,0.1,12.6,144,1814.4,14660103.05
2020-01-09,7879.07,12.5,0.1,12.6,144,1814.4,14295786.95
2020-01-10,8166.55,12.5,0.1,12.6,144,1814.4,14817395.94
2020-01-11,8037.54,12.5,0.1,12.6,144,1814.4,14583308.22
2020-01-12,8192.49,12.5,0.1,12.6,144,1814.4,14864461.37
2020-01-13,8144.19,12.5,0.1,12.6,144,1814.4,14776826.2
2020-01-14,8827.76,12.5,0.1,12.6,144,1814.4,16017096.18
2020-01-15,8807.01,12.5,0.1,12.6,144,1814.4,15979440.29
2020-01-16,8723.79,12.5,0.1,12.6,144,1814.4,15828437.56
2020-01-17,8929.04,12.5,0.1,12.6,144,1814.4,16200846.7
2020-01-18,8942.81,12.5,0.1,12.6,144,1814.4,16225831.91
2020-01-19,8706.25,12.5,0.1,12.6,144,1814.4,15796611.14
2020-01-20,8657.64,12.5,0.1,12.6,144,1814.4,15708426.69
2020-01-21,8745.89,12.5,0.1,12.6,144,1814.4,15868551.04
2020-01-22,8680.88,12.5,0.1,12.6,144,1814.4,15750581.37
2020-01-23,8406.52,12.5,0.1,12.6,144,1814.4,15252781.95
2020-01-24,8445.43,12.5,0.1,12.6,144,1814.4,15323396.48
2020-01-25,8367.85,12.5,0.1,12.6,144,1814.4,15182622.79
2020-01-26,8596.83,12.5,0.1,12.6,144,1814.4,15598088.49
2020-01-27,8909.82,12.5,0.1,12.6,144,1814.4,16165976.2
2020-01-28,9358.59,12.5,0.1,12.6,144,1814.4,16980225.41
2020-01-29,9316.63,12.5,0.1,12.6,144,1814.4,16904093.26
2020-01-30,9508.99,12.5,0.1,12.6,144,1814.4,17253117.2
2020-01-31,9350.53,12.5,0.1,12.6,144,1814.4,16965600.36
2020-02-01,9392.88,12.5,0.1,12.6,144,1814.4,17042432.4
2020-02-02,9344.37,12.5,0.1,12.6,144,1814.4,16954416.28
